id;reference;titre;original;auteurs;arrangement;lien;ton;tempo;status
;TOU-003v01;Toujours;Again I Say Rejoice;I. HOUGHTON / A. LINDSEY;;;E;;actif
;TOU-004v01;Tout ce que je fais;;David RUIS;;;G;;actif
;TOU-005v01;Toute ma vie;;Jocelyn DUVAL / Luc DUMONT;;;E ;66;actif
;TUE-001v01;Tu es Dieu;-;C. CHRISTENSEN / T. OSTRINI;;;C ;76;actif
;TUE-003v01;Tu es digne;-;Daniel PIALAT;Daniel PIALAT;;C ;70;actif
;TUE-004v01;Tu es puissant;;Graig MUSSEAU;;;Am ;98;actif
;TUE-005v01;Tu es Dieu;-;Dan LUITEN;;;E ;170;actif
;UNE-001v01;Une chose;;David DURHAM;;;D ;60;actif
;UNE-002v01;Un enfant est né;-;Marylène ROFFIDAL;Josué ADELE;;Bb ;70;actif
;UNI-001v01;Unis-nous;-;Jérémy MATTINA;Jérémy MATTINA;;F ;66;actif
;VEN-001v02;Venez le célébrer;;P. MORGAN;Josué ADELE;;G ;155;actif
;VIE-001v01;Viens me transformer;;Marie-Hélène CHARRETTE;Josué ADELE;;G ;69;actif
;VOI-001v01;Vois ce que Dieu a fait;;M.D. HANBY;;;G ;136;actif
;VOI-002v01;Voici Noël;Stil­le Nacht;J. MOHR / J.F. YOUNG;PraiseCharts;;G ;90;actif
